,country,province,region_1,region_2,winery
230,US,New York,Finger Lakes,Finger Lakes,Bloomer Creek
231,Argentina,Mendoza Province,Mendoza,,Andean Sky
232,Australia,South Australia,South Australia,,Angove's
233,US,Oregon,Willamette Valley,Willamette Valley,Silvan Ridge
234,Italy,Central Italy,Montepulciano d'Abruzzo,,Talamonti
236,US,California,Diamond Mountain District,Napa,Meeker
237,Italy,Central Italy,San Marino,,Consorzio Vini Tipici di San Marino
238,Australia,South Australia,McLaren Vale,,D'Arenberg
239,US,California,Mendocino,,Dogwood
240,France,Southwest France,Vin de Pays des Côtes de Gascogne,,Domaine du Tariquet
241,US,California,Napa Valley,Napa,Falcor
242,US,California,Russian River Valley,Sonoma,Hayman & Hill
243,US,New York,Finger Lakes,Finger Lakes,Hermann J. Wiemer
244,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,J. & F. Lurton
245,Argentina,Other,San Juan,,Finca Las Moras
246,Australia,South Australia,Adelaide Hills,,Long Flat
247,US,California,Sonoma Mountain,Sonoma,Work
248,US,Oregon,Willamette Valley,Willamette Valley,Amity
249,US,Virginia,Monticello,,Autumn Hill
250,US,California,Alexander Valley,Sonoma,Blue Rock
251,US,Oregon,Willamette Valley,Willamette Valley,Cherry Hill
252,US,California,Amador County,Sierra Foothills,Cloud 9
253,Argentina,Mendoza Province,Luján de Cuyo,,Cueva de las Manos
254,US,California,St. Helena,Napa,David Fulton
255,US,California,Cole Ranch,,Esterlina
256,South Africa,Coastal Region,,,Goats do Roam Wine Co.
257,South Africa,Coastal Region,,,Graham Beck
258,South Africa,Stellenbosch,,,Hartenberg
259,France,Southwest France,Cahors,,Vignobles 46N118
260,US,Oregon,Willamette Valley,Willamette Valley,Willamette Valley Vineyards
261,Argentina,Mendoza Province,,,Algodon
262,US,California,Napa Valley,Napa,Beaver Creek
263,US,California,Santa Maria Valley,Central Coast,Byron
264,South Africa,Stellenbosch,,,Jardin
266,Argentina,Mendoza Province,Mendoza,,Kaiken
267,Italy,Central Italy,Torgiano,,Lungarotti
268,Italy,Veneto,Veneto,,Marchesi Fumanelli
269,Austria,Leithaberg,,,Mariell
270,Italy,Northeastern Italy,Colli Orientali del Friuli,,Livio Felluga
271,Greece,Santorini,,,My Big Fat Greek Wine
272,Italy,Northeastern Italy,Alto Adige,,Nals Margreid
273,Argentina,Mendoza Province,Uco Valley,,O. Fournier
274,Italy,Piedmont,Monferrato,,Pico Maccario
275,Argentina,Mendoza Province,Mendoza,,Sottano
276,US,California,Sonoma County,Sonoma,St. Francis
277,US,California,Napa Valley,Napa,Trailhead
279,Italy,Northeastern Italy,Alto Adige,,Franz Haas
280,Austria,Kremstal,,,Forstreiter
281,US,California,Santa Maria Valley,Central Coast,Cambria
282,Italy,Tuscany,Toscana,,I Giusti e Zanza
283,US,Oregon,Dundee Hills,Willamette Valley,J. Christopher
284,Argentina,Mendoza Province,Perdriel,,Viña Cobos
285,Austria,Kremstal,,,Salomon-Undhof
286,US,California,Arroyo Grande Valley,Central Coast,Talley
287,Spain,Catalonia,Montsant,,Acústic
288,Austria,Kremstal,,,Josef Schmid
289,US,California,Napa Valley,Napa,Parallel
290,France,Bordeaux,Saint-Estèphe,,Château Lafon-Rochet
291,Italy,Central Italy,Sagrantino di Montefalco,,Dionigi
292,France,France Other,Arbois,,Domaine Daniel Dugois
293,Australia,South Australia,Barossa Valley,,Kilikanoon
294,Argentina,Mendoza Province,Tupungato,,Finca Sophenia
295,US,California,Paso Robles,Central Coast,Treana
296,Chile,Maipo Valley,,,Ventisquero
297,US,California,Napa Valley,Napa,Aquinas
298,Chile,Aconcagua Valley,,,Arboleda
299,Italy,Piedmont,Langhe,,Attilio Ghisolfi
301,US,Washington,Columbia Valley (WA),Columbia Valley,Buried Cane
302,Italy,Piedmont,Roero,,Cantina del Nebbiolo
303,Italy,Piedmont,Barolo,,Cascina Adelaide
304,Italy,Piedmont,Barbera d'Asti Superiore Nizza,,Cascina La Ghersa
305,US,California,Mendocino County,,Claudia Springs
306,Romania,Recas,,,Cramele Recas
307,France,Burgundy,Côte de Nuits-Villages,,Domaine Bertagna
308,Greece,Santorini,,,Domaine Sigalas
309,Italy,Piedmont,Langhe,,Socré
310,Italy,Piedmont,Langhe,,Boffa
311,New Zealand,Hawke's Bay,,,Otto's Constant Dream
312,US,California,Napa Valley,Napa,Mount Veeder
313,Italy,Piedmont,Roero,,Rabino
315,Italy,Veneto,Prosecco di Valdobbiadene,,Bellussi
316,France,Bordeaux,Bordeaux Blanc,,Château Mont-Pérat
317,France,Bordeaux,Bordeaux Blanc,,Château Tour de Mirambeau
319,Italy,Veneto,Veneto,,Paladin
320,Italy,Veneto,Prosecco di Valdobbiadene,,Perlage
321,Italy,Veneto,Prosecco di Valdobbiadene,,Sant Eurosia
324,Italy,Veneto,Prosecco di Conegliano,,L'Antica Quercia
325,US,New York,Finger Lakes,Finger Lakes,Lucas Vineyards
326,Italy,Veneto,Prosecco di Valdobbiadene,,Marsuret
327,Chile,Limarí Valley,,,De Martino
328,US,California,Knights Valley,Sonoma,Beringer
329,US,California,Mendocino,,Brutocao
330,US,California,Central Coast,Central Coast,Clos La Chance
332,Italy,Veneto,Prosecco di Conegliano,,Sommariva
333,Italy,Veneto,Prosecco di Valdobbiadene,,Spagnol
334,France,Champagne,Champagne,,Jacquart
336,Chile,Colchagua Costa,,,Koyle
337,France,Languedoc-Roussillon,Languedoc,,Château Notre Dame du Quatourze
338,France,Provence,Coteaux Varois en Provence,,Mémoires
339,Spain,Catalonia,Cava,,Cavas Hill
340,France,Alsace,Alsace,,Antoine Moltès & Fils
341,US,California,Dry Creek Valley,Sonoma,Pezzi King
342,Spain,Catalonia,Cava,,Bellisco
343,Chile,Rapel Valley,,,Pura 8
344,Chile,Leyda Valley,,,Viña Tarapacá
345,Australia,Victoria,Rutherglen,,Chambers Rosewood Vineyards
347,Germany,Rheingau,,,Robert Weil
349,Australia,South Australia,Barossa,,Torbreck
350,Italy,Piedmont,Barolo,,Cavallotto
351,Hungary,Tokaji,,,Oremus
352,US,California,Russian River Valley,Sonoma,Rochioli
353,France,Burgundy,Montrachet,,Louis Latour
356,Australia,Victoria,Heathcote,,Jasper Hill
357,France,Burgundy,Clos de Vougeot,,Château de la Tour
358,Germany,Rheingau,,,Weingut Hans Bausch
359,France,Burgundy,Chassagne-Montrachet,,Philippe Colin
361,Italy,Piedmont,Barolo,,Bel Colle
362,US,California,Diamond Mountain District,Napa,J. Davies
364,US,Oregon,Dundee Hills,Willamette Valley,Winderlea
365,Australia,South Australia,Clare Valley,,Wakefield
366,Italy,Northeastern Italy,Alto Adige,,Cantina Terlano
368,Italy,Veneto,Bianco di Custoza,,Montresor
369,Italy,Northeastern Italy,Friuli,,Ronco del Gelso
370,US,California,Sonoma Valley,Sonoma,Sebastiani
371,Italy,Northeastern Italy,Alto Adige,,Elena Walch
372,Italy,Veneto,Soave,,Gini
373,Italy,Northeastern Italy,Collio,,Borgo Conventi
374,US,California,Mendocino County,,Ceago Vinegarden
375,Italy,Tuscany,Toscana,,Valiano
376,Italy,Northeastern Italy,Colli Orientali del Friuli,,Volpe Pasini
377,Greece,Naoussa,,,Zenato
378,Mexico,Valle de Guadalupe,,,L.A. Cetto
379,Italy,Northeastern Italy,Trentino,,La Vis
380,Chile,Rapel Valley,,,Lapostolle
381,Italy,Veneto,Bianco di Custoza,,Fratelli Zeni
382,Chile,Maipo Valley,,,Carmen
383,Italy,Veneto,Valdadige,,Tommasi
384,Italy,Northeastern Italy,Alto Adige,,San Michele Eppan
385,US,California,Rutherford,Napa,Vinoce
386,US,California,Russian River Valley,Sonoma,Merriam
387,US,California,Alexander Valley,Sonoma,Murphy-Goode
388,US,California,Edna Valley,Central Coast,Kynsi
390,Chile,Maipo Valley,,,Casa Julia
391,Chile,Central Valley,,,Valdivieso
392,US,California,Santa Ynez Valley,Central Coast,Bridlewood
393,Chile,Lontué Valley,,,San Pedro
394,Chile,Maipo Valley,,,Undurraga
395,Italy,Northeastern Italy,Collio,,Conti Formentini
396,US,California,California,California Other,Cline
399,Italy,Veneto,Prosecco di Valdobbiadene,,Astoria
400,Italy,Italy Other,Italy,,Cantine Maschio
401,Italy,Veneto,Prosecco di Valdobbiadene,,Val d'Oca
403,US,California,California,California Other,Vinavanti
404,US,California,Santa Barbara County,Central Coast,Vino V
405,Italy,Veneto,Prosecco del Veneto,,Viticoltori Ponte
408,Italy,Veneto,Prosecco di Conegliano e Valdobbiadene,,Le Vigne di Alice
409,US,New York,Finger Lakes,Finger Lakes,McGregor
410,US,New York,Finger Lakes,Finger Lakes,Miles
411,US,California,California,California Other,Morro Bay
413,Italy,Veneto,Prosecco del Veneto,,Pizzolato
415,US,New York,Finger Lakes,Finger Lakes,Red Newt Cellars
416,Italy,Veneto,Prosecco del Veneto,,Ca'Tullio
418,Austria,Burgenland,,,Michlits
419,France,Bordeaux,Graves,,Château de Callac
420,France,Bordeaux,Bordeaux Blanc,,Château de Marsan
421,US,Washington,Columbia Valley (WA),Columbia Valley,Guardian
422,US,Washington,Walla Walla Valley (WA),Columbia Valley,Kerloo
423,Austria,Weinviertel,,,Kohl
424,US,California,California,California Other,Las Positas
425,US,New York,New York,New York Other,Lieb
426,Spain,Northern Spain,Rioja,,Luberri
427,US,New York,North Fork of Long Island,Long Island,Macari
428,Austria,Kremstal,,,Malat
429,US,Washington,Wahluke Slope,Columbia Valley,Milbrandt
430,US,California,Santa Ynez Valley,Central Coast,Ojai
431,US,California,Templeton Gap District,Central Coast,ONX
432,US,Washington,Snipes Mountain,Columbia Valley,Pomum
433,US,California,Santa Barbara County,Central Coast,Prospect 772
434,Italy,Piedmont,Barolo,,Revello Fratelli
435,Austria,Thermenregion,,,Gebeshuber
436,Italy,Piedmont,Gavi,,Tenuta La Marchesa
437,US,California,Alexander Valley,Sonoma,Trione
438,Spain,Northern Spain,Bierzo,,Vinos de Arganza
440,US,Washington,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners
441,Austria,Niederösterreich,,,Winzer Krems
442,US,New York,Long Island,Long Island,Wölffer
443,US,California,Sonoma Valley,Sonoma,Dunbar
444,Austria,Wagram,,,Eschenhof Holzer
445,Italy,Sicily & Sardinia,Etna,,Fattorie Romeo del Castello
446,US,California,Paso Robles,Central Coast,Flying Cloud
447,France,Loire Valley,Muscadet Sèvre et Maine,,Gadais Père et Fils
448,France,Rhône Valley,Côtes du Rhône,,André Brunel
449,Italy,Lombardy,Franciacorta,,Majolini
450,France,Champagne,Champagne,,Montaudon
451,Italy,Tuscany,Vino Nobile di Montepulciano,,Montemercurio
452,France,Burgundy,Meursault,,Patrick Javillier
453,France,Champagne,Champagne,,Philippe Fontaine
454,Canada,Ontario,Niagara-On-The-Lake,,Pillitteri
456,US,California,Anderson Valley,,Roederer Estate
457,US,California,Santa Maria Valley,Central Coast,Rusack
458,Italy,Lombardy,Franciacorta,,Bellavista
459,France,Champagne,Champagne,,Chanoine
460,US,Oregon,Ribbon Ridge,Willamette Valley,Chehalem
462,France,Burgundy,Meursault,,Henri de Villamont
463,France,Champagne,Champagne,,Vollereaux
464,Germany,Rheinhessen,,,Wittmann
465,Italy,Veneto,Amarone della Valpolicella,,Valentina Cubi
466,France,Champagne,Champagne,,Deutz
467,US,Oregon,Willamette Valley,Willamette Valley,Domaine Serene
468,Germany,Mosel,,,Dr. Loosen
470,France,Champagne,Champagne,,H. Blin
474,France,Champagne,Champagne,,Jeaunaux-Robin
475,US,California,Rutherford,Napa,Bell
477,France,Bordeaux,Pomerol,,Château Vray Croix de Gay
478,France,Champagne,Champagne,,Dampierre
479,Italy,Sicily & Sardinia,Cannonau di Sardegna,,Santa Maria La Palma
480,US,Washington,Red Mountain,Columbia Valley,Sparkman
481,Italy,Sicily & Sardinia,Isola dei Nuraghi,,Argiolas
482,US,California,Sta. Rita Hills,Central Coast,Babcock
483,South Africa,Stellenbosch,,,Cape View
484,South Africa,Western Cape,,,Ken Forrester
485,France,Rhône Valley,Côtes du Rhône Villages,,Louis Bernard
486,US,California,Sonoma County,Sonoma,Lyeth
487,Italy,Northeastern Italy,Colli Orientali del Friuli,,Marco Cecchini
488,Italy,Northeastern Italy,Friuli Grave,,Vigneti Le Monde
490,Spain,Catalonia,Cava,,V&N; Cellars
492,US,Washington,Walla Walla Valley (WA),Columbia Valley,Zerba Cellars
493,US,Washington,Red Mountain,Columbia Valley,Insania
494,US,New York,Finger Lakes,Finger Lakes,Knapp
495,US,California,El Dorado,Sierra Foothills,Lava Cap
496,Spain,Northern Spain,Rueda,,Loess
497,US,California,Suisun Valley,North Coast,MICA Cellars
498,US,California,Carneros,Napa-Sonoma,Michael Pozzan
499,France,Provence,Côtes de Provence,,Domaine du Grand Cros
500,Spain,Northern Spain,Rioja,,El Coto
501,US,California,Lodi,Central Valley,Fenestra
502,Austria,Österreichischer Sekt,,,Gunter Triebaumer
503,US,California,Russian River Valley,Sonoma,Hanna
504,France,Rhône Valley,Côtes du Rhône,,Alain Jaume et Fils
505,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Aleo
506,Italy,Northeastern Italy,Venezia Giulia,,Altùris
507,US,Washington,Wahluke Slope,Columbia Valley,Camaraderie
511,France,Champagne,Champagne,,Boude Baudin
513,US,California,Chiles Valley,Napa,Conn Creek
515,US,California,Sonoma Coast,Sonoma,D.R. Stephens
516,US,California,Russian River Valley,Sonoma,Davis Family
518,France,Burgundy,Mercurey,,Domaine Jeannin-Naltet
520,US,California,Edna Valley,Central Coast,Qupé
522,US,Oregon,Willamette Valley,Willamette Valley,Rex Hill
523,US,Oregon,Chehalem Mountains,Willamette Valley,Ruby
524,US,Washington,Horse Heaven Hills,Columbia Valley,Structure
526,US,Oregon,Dundee Hills,Willamette Valley,Tumwater
529,US,California,Russian River Valley,Sonoma,Joseph Jewell
534,US,California,Paso Robles,Central Coast,Le Vigne
535,Germany,Mosel,,,Maximin Grünhäuser
536,US,Washington,Walla Walla Valley (WA),Columbia Valley,Northstar
537,US,California,Napa Valley,Napa,Padis
538,US,Oregon,Umpqua Valley,Southern Oregon,Paul O'Brien
540,US,California,Santa Maria Valley,Central Coast,Flying Goat Cellars
542,Italy,Northeastern Italy,Alto Adige Valle Isarco,,Abbazia di Novacella
543,US,California,Napa Valley,Napa,Midsummer Cellars
545,US,California,Napa Valley,Napa,Les Belles Collines
546,US,California,Sonoma Coast,Sonoma,Lutum
547,US,California,Ballard Canyon,Central Coast,Turiya
548,US,California,Green Valley,Sonoma,Iron Horse
549,Italy,Piedmont,Barolo,,Brandini
550,US,California,Carneros,Napa-Sonoma,Artesa
551,US,California,Sonoma Valley,Sonoma,Carlisle
552,France,Provence,Coteaux d'Aix-en-Provence,,Château Vignelaure
553,Argentina,Mendoza Province,Mendoza,,Clos d'Argentine
554,France,Provence,Côtes de Provence Sainte-Victoire,,Mas de Cadenet
555,US,Washington,Horse Heaven Hills,Columbia Valley,Passing Time
556,Spain,Northern Spain,Ribera del Duero,,Resalte
557,US,California,Santa Maria Valley,Central Coast,Sanctuary
558,US,California,Sierra Foothills,Sierra Foothills,Terre Rouge
559,US,California,Russian River Valley,Sonoma,Limerick Lane
561,US,California,Sonoma Coast,Sonoma,Loring Wine Company
562,US,California,Napa Valley,Napa,Eighty Four
564,US,California,Paso Robles,Central Coast,Four Lanterns
566,US,California,Napa Valley,Napa,World's End
567,Argentina,Mendoza Province,Mendoza,,Benegas
568,US,California,Howell Mountain,Napa,W.H. Smith
569,US,Washington,Columbia Valley (WA),Columbia Valley,Alleromb
570,US,Washington,Yakima Valley,Columbia Valley,Ardor
571,US,California,Yolo County,Central Valley,Berryessa Gap
572,Italy,Piedmont,Dolcetto d'Alba,,Brezza
573,France,Bordeaux,Bordeaux Supérieur,,Château Bois Chantant
574,France,Rhône Valley,Costières de Nîmes,,Château de Campuget
575,France,Bordeaux,Bordeaux Supérieur,,Château de l'Aubrade
576,France,Bordeaux,Saint-Émilion,,Château de Pressac
577,US,New York,Finger Lakes,Finger Lakes,Chateau Lafayette Reneau
578,France,Bordeaux,Bordeaux,,Château Maison Noble Saint Martin
579,US,California,California,California Other,Cupcake
580,US,Washington,Washington,Washington Other,Raconteur
581,US,Washington,Columbia Gorge (WA),Washington Other,Savage Grace
582,US,Washington,Wahluke Slope,Columbia Valley,Seven Falls
583,US,California,Santa Cruz Mountains,Central Coast,Silvertip
584,Austria,Kamptal,,,Steininger
585,US,Washington,Yakima Valley,Columbia Valley,Stevens
